Date,Open,High,Low,Close
5/23/2016,2053.25,2056,2043.5,2045.25
5/20/2016,2038.75,2055.5,2037.25,2050
5/19/2016,2043.5,2044.75,2022,2038.75
5/18/2016,2043.75,2057.75,2030.75,2041.5
5/17/2016,2062,2069.5,2036.75,2043.5
5/16/2016,2041.25,2068.5,2035,2062.75
5/13/2016,2059.25,2063.5,2038.5,2043.5
5/12/2016,2059,2072.75,2048.5,2058.75
5/11/2016,2077.25,2078.75,2057.5,2058
5/10/2016,2054,2079.75,2048,2077.5
5/9/2016,2053,2059.75,2048.25,2054.25
5/6/2016,2043.5,2054.5,2030.5,2052.75
5/5/2016,2046.5,2060,2039.5,2044
5/4/2016,2057.5,2060.25,2039,2047
5/3/2016,2075.5,2076.25,2048,2057
5/2/2016,2060.75,2077.5,2055.5,2074.25
4/29/2016,2073.75,2076,2045.75,2059
4/28/2016,2092.5,2094.25,2065.25,2072.5
4/27/2016,2082.25,2094,2076.25,2090.75
4/26/2016,2084.25,2091.25,2079.5,2088.5
4/25/2016,2091.5,2091.5,2071,2083.25
4/22/2016,2079.75,2089,2075,2086
4/21/2016,2097.75,2104,2078.75,2082.75
4/20/2016,2094.25,2105.25,2085.75,2098
4/19/2016,2085.25,2098.5,2084.75,2093.75
4/18/2016,2064.25,2088.75,2058.5,2086.75
4/15/2016,2077.75,2080,2069.5,2075
4/14/2016,2076.25,2081.75,2068.5,2076.5
4/13/2016,2055.25,2077,2054,2076
4/12/2016,2032.5,2058.5,2029.25,2055.75
4/11/2016,2041,2056.5,2032.5,2034.5
4/8/2016,2034.5,2054.25,2030.25,2040.75
4/7/2016,2059.75,2062,2026,2035
4/6/2016,2042,2060.5,2035,2060.25
4/5/2016,2055.5,2055.5,2034.25,2038.75
4/4/2016,2064,2071.5,2054.25,2057.5
4/1/2016,2052.75,2067,2035.25,2065
3/31/2016,2055.5,2059.75,2047.25,2051.5
3/30/2016,2048.5,2064.5,2046.75,2055.25
3/29/2016,2027.75,2049.25,2019.25,2047.5
3/28/2016,2030.25,2039.75,2022,2028
3/24/2016,2028,2030.25,2012.25,2028.5
3/23/2016,2043,2045.25,2025.25,2028.75
3/22/2016,2043.25,2047.5,2028.75,2042.5
3/21/2016,2036.5,2044.5,2031,2042.75
3/18/2016,2031.25,2042.75,2027,2037.5
3/17/2016,2017,2036.75,2005.75,2030.25
3/16/2016,2006.75,2022.75,1997,2017.25
3/15/2016,2009.25,2010,1995,2006.5
3/14/2016,2009.5,2015,2002,2009.25
3/11/2016,1979.75,2012.75,1978,2010.5
3/10/2016,1981,2001,1958,1979.5
3/9/2016,1972.25,1984.5,1968.75,1979.75
3/8/2016,1990,1990.75,1966.5,1971.5
3/7/2016,1985,1995,1975.5,1990
3/4/2016,1981.75,1998,1975,1985.75
3/3/2016,1972,1983,1965.75,1981.25
3/2/2016,1967,1976.25,1957.25,1974.25
3/1/2016,1919,1969.25,1911.75,1968.75
2/29/2016,1933.5,1947,1917.75,1920.25
2/26/2016,1939.25,1959.25,1932.5,1933.5
2/25/2016,1923.75,1941.5,1911.25,1941.25
2/24/2016,1904.5,1924.25,1877.25,1921
2/23/2016,1924.75,1929,1905,1907.25
2/22/2016,1904,1934.75,1900.5,1927.5
2/19/2016,1907.25,1913.5,1890,1905.75
2/18/2016,1917.5,1924.5,1902.5,1907.75
2/17/2016,1878.5,1918.75,1873,1913.75
2/16/2016,1855,1884.25,1855,1880
2/12/2016,1818,1851.5,1814.25,1849.25
2/11/2016,1834.75,1837.75,1794.75,1815.5
2/10/2016,1840,1868.5,1829.75,1837.75
2/9/2016,1839.5,1854.5,1817.75,1839.5
2/8/2016,1866.75,1875.75,1813.5,1843.25
2/5/2016,1895,1905,1857.25,1866.5
2/4/2016,1898.75,1913,1882.25,1899
2/3/2016,1885.75,1903.25,1856.75,1899.75
2/2/2016,1918.75,1919,1881,1889
2/1/2016,1922.25,1931.5,1904.25,1923
1/29/2016,1873.5,1923.5,1870,1922
1/28/2016,1871.75,1894.25,1859,1872.5
1/27/2016,1878,1901.5,1856,1867
1/26/2016,1863.75,1891.5,1844,1887.75
1/25/2016,1892,1895.5,1860,1862
1/22/2016,1850,1894,1848.25,1891
1/21/2016,1847.5,1874.5,1828.5,1853
1/20/2016,1864,1870.25,1796,1846.75
1/19/2016,1862,1899.25,1849,1865.25
1/15/2016,1907.5,1913.25,1842,1867.5
1/14/2016,1877.75,1919.5,1864.75,1907.25
1/13/2016,1916.75,1939,1871,1874
1/12/2016,1905.5,1932.25,1892.75,1917.5
1/11/2016,1902.5,1921.25,1885.75,1907
1/8/2016,1929.5,1957.75,1903,1904.25
1/7/2016,1980.5,1982.5,1921.75,1925.5
1/6/2016,2004,2005.75,1964.5,1978.75
1/5/2016,2003.75,2009,1986,2004.75
1/4/2016,2032.5,2036,1973.5,2002
12/31/2015,2049.25,2051.25,2023.75,2028.5
12/30/2015,2065.25,2067.75,2047.5,2048
12/29/2015,2042.75,2067.5,2042,2066.25
12/28/2015,2045.25,2047.75,2028.75,2042.25
12/24/2015,2046,2052.25,2043,2044.5
12/23/2015,2028,2051,2025,2046.5
12/22/2015,2010.75,2029.25,2001.25,2029
12/21/2015,1989.25,2012.25,1989.25,2008.25
12/18/2015,2017,2022.25,1984.5,1985
12/17/2015,2056.25,2065.75,2016.75,2017.75
12/16/2015,2029,2061.25,2025.75,2056.5
12/15/2015,2006,2038,2003.5,2029.75
12/14/2015,1993.75,2009.25,1976.75,2002.5
12/11/2015,2038.25,2038.25,1989.75,1994.25
12/10/2015,2035,2051.25,2030,2034
12/9/2015,2050.25,2063.75,2021,2027.25
12/8/2015,2064.75,2064.75,2036.5,2044.25
12/7/2015,2076.5,2081.25,2051.5,2067
12/4/2015,2039,2079,2035,2074.5
12/3/2015,2069.5,2081.25,2027,2037.25
12/2/2015,2085,2090,2062,2067.75
12/1/2015,2073,2086.5,2070,2086
11/30/2015,2075.25,2081,2065.5,2066
11/27/2015,2083.5,2083.5,2073,2076
11/25/2015,2072,2076.5,2070,2074.25
11/24/2015,2071,2076.25,2053.25,2070.75
11/23/2015,2078,2079,2066.5,2070.25
11/20/2015,2063.75,2079.5,2063.75,2074.75
11/19/2015,2070,2074.5,2061.25,2065.25
11/18/2015,2032.5,2067.5,2032.25,2065.5
11/17/2015,2038,2047.75,2030.5,2034.75
11/16/2015,1987.75,2034.75,1987.25,2033.75
11/13/2015,2028,2030.25,1998.25,2004.5
11/12/2015,2060.5,2060.5,2027.25,2026.5
11/11/2015,2068.25,2073,2055.25,2055.25
11/10/2015,2059,2065.5,2051.5,2064.5
11/9/2015,2079,2081.75,2049,2059.25
11/6/2015,2081.5,2082.5,2066.25,2080.25
11/5/2015,2084.75,2088,2070.5,2080.25
11/4/2015,2087.75,2095.5,2078,2080.75
11/3/2015,2078.75,2095.75,2077.25,2088.75
11/2/2015,2057,2085,2051.75,2081
10/30/2015,2069.25,2076,2056.5,2059.25
10/29/2015,2065.5,2071.5,2060,2068.25
10/28/2015,2053.5,2069,2042.75,2069.75
10/27/2015,2047.25,2048.75,2036.75,2045.5
10/26/2015,2050,2050,2043.5,2047.25
10/23/2015,2043.5,2058,2039.25,2051
10/22/2015,1999.75,2040,1999.25,2037.75
10/21/2015,2002.25,2015.75,1993,1993
10/20/2015,2008.5,2015,2005,2005
10/19/2015,2003,2011,2000,2011.5
10/16/2015,2006.25,2010,1997.75,2009.75
10/15/2015,1971.5,2003.75,1971.5,2003.25
10/14/2015,1976,1983,1967.25,1968.5
10/13/2015,1991,1994.5,1978,1978.25
10/12/2015,1988,1994.75,1986.5,1995.5
10/9/2015,1993.75,1998,1985,1991.75
10/8/2015,1963.25,1993.5,1959.5,1991
10/7/2015,1952.25,1975.25,1948,1971.5
10/6/2015,1957,1964,1947.25,1952.5
10/5/2015,1923,1963.5,1923,1958.75
10/2/2015,1908,1927,1867.75,1927.25
10/1/2015,1902.75,1912.5,1875.75,1901
9/30/2015,1859.25,1893.25,1856.25,1893
9/29/2015,1862.5,1873.75,1847,1858.75
9/28/2015,1899.25,1899.25,1854.75,1856.5
9/25/2015,1913.75,1933.25,1897.75,1904
9/24/2015,1906.25,1910.25,1882,1903.5
9/23/2015,1914,1922.5,1898,1913.5
9/22/2015,1940.25,1940.25,1905.75,1917
9/21/2015,1933.5,1954.25,1933.5,1948.75
9/18/2015,1965,1966.25,1928.5,1936.5
9/17/2015,1972.75,1998,1960.75,1963.75
9/16/2015,1952,1973.75,1952,1974.5
9/15/2015,1936.75,1958.75,1936.75,1956.5
9/14/2015,1942,1949.25,1924.25,1930.75
9/11/2015,1918.5,1938,1915.5,1937
9/10/2015,1921,1938.5,1907.25,1926.75
9/9/2015,1954,1965,1915.75,1920.5
9/8/2015,1917.5,1943.5,1907.5,1944
9/4/2015,1910,1912.25,1894.5,1900
9/3/2015,1943,1945.75,1928.5,1924.5
9/2/2015,1901.75,1923.75,1898,1925.5
9/1/2015,1910,1911.75,1883.75,1894.5
8/31/2015,1945.5,1951,1942.25,1948
8/28/2015,1960,1965.5,1950.5,1968.25
8/27/2015,1934,1965,1927,1968
8/26/2015,1858.5,1917,1857.25,1917.25
8/25/2015,1886.5,1910.75,1844,1852.5
8/24/2015,1940,1940,1820,1850.75
8/21/2015,2008,2008,1950,1952
8/20/2015,2047,2047,2008.75,2006.5
8/19/2015,2057.5,2072.25,2050,2054
8/18/2015,2083,2083,2072.5,2075.25
8/17/2015,2071.5,2080.25,2057,2080.75
8/14/2015,2066,2069,2066,2070.75
8/13/2015,2067,2072,2060,2061.75
8/12/2015,2044,2064.25,2030.25,2065.5
8/11/2015,2053,2060.75,2053,2061.25
8/10/2015,2060.25,2080,2057.5,2081.5
8/7/2015,2062,2062.5,2044,2055.25
8/6/2015,2060,2061.25,2054.25,2061.25
8/5/2015,2068.25,2084.75,2067.75,2075.5
8/4/2015,2073,2073,2065,2064.5
8/3/2015,2067.75,2071,2063.5,2072.25
7/31/2015,2089.5,2089.5,2078.25,2080
7/30/2015,2077.5,2083.25,2073.25,2085.5
7/29/2015,2083.25,2083.25,2066.75,2083.25
7/28/2015,2049.25,2069.75,2049.25,2069
7/27/2015,2059.75,2059.75,2039,2046.25
7/24/2015,2062.75,2062.75,2053.75,2059.5
7/23/2015,2080,2080,2074.5,2080.25
7/22/2015,2089.75,2088,2085.75,2089.75
7/21/2015,2096.25,2105,2092,2096.25
7/20/2015,2104.75,2105,2104.75,2103.75
7/17/2015,2096.75,2096.75,2094.75,2100.5
7/16/2015,2095.25,2098.25,2093.75,2098.75
7/15/2015,2085,2085.25,2079,2086.25
7/14/2015,2071.75,2085,2071.75,2084
7/13/2015,2061.75,2072.75,2061.75,2076.25
7/10/2015,2044,2051.25,2042.25,2051
7/9/2015,2040.25,2040.25,2020,2023
7/8/2015,2030.25,2030.25,2020,2021
7/7/2015,2050.75,2053,2017.25,2055.5
7/6/2015,2021,2047.5,2021,2046.75
7/2/2015,2061,2061,2047,2051
7/1/2015,2054.5,2055,2043,2053.25
6/30/2015,2037,2046.25,2031,2036.5
6/29/2015,2045,2059.5,2035,2032.75
6/26/2015,2075,2080.5,2072.5,2078.25
6/25/2015,2079,2079,2075,2076.5
6/24/2015,2090,2090,2084,2082
6/23/2015,2099,2100.5,2096.25,2099
6/22/2015,2098.5,2102.75,2096.5,2095.5
6/19/2015,2098.25,2098.25,2082.75,2080.5
6/18/2015,2072.75,2099.25,2072.25,2097.5
6/17/2015,2073.25,2078.75,2072.75,2072
6/16/2015,2067,2069.5,2064.75,2072
6/15/2015,2060.25,2060.25,2051,2058.5
6/12/2015,2071.5,2071.5,2065.5,2068
6/11/2015,2085,2090,2082.25,2084.25
6/10/2015,2069.75,2080.25,2069.25,2081.75
6/9/2015,2052.75,2057,2047,2055
6/8/2015,2060,2060.5,2054,2052.5
6/5/2015,2066.75,2068.75,2063.75,2066.75
6/4/2015,2081.5,2083.75,2066,2073.5
6/3/2015,2090.5,2092.75,2084,2090.5
6/2/2015,2080,2089,2073.75,2081.25
6/1/2015,2084,2088.25,2078.75,2084
5/29/2015,2081,2086.75,2079.5,2081
5/28/2015,2096.75,2093.5,2089.75,2096.75
5/27/2015,2087.75,2096.25,2087.25,2096
5/26/2015,2092.25,2094.75,2072.75,2080
5/22/2015,2099.5,2104.5,2099,2099.5
5/21/2015,2092.75,2105.5,2091.25,2103
5/20/2015,2097.5,2100.75,2094.75,2097.5
5/19/2015,2100,2104,2098,2099.5
5/18/2015,2090.5,2100.5,2090,2101
5/15/2015,2094,2096.25,2089,2094
5/14/2015,2088,2098,2088,2092.75
5/13/2015,2069.5,2079.75,2070,2069.5
5/12/2015,2070,2073.75,2058.75,2070
5/11/2015,2077.5,2078,2076.25,2073
5/8/2015,2084,2084,2084,2084
5/7/2015,2059.75,2056,2041.25,2059.75
5/6/2015,2049.75,2067.75,2042.25,2049.75
5/5/2015,2059.75,2059.75,2059.75,2059.75
5/4/2015,2090,2090,2085.25,2085.25
